cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_265	3.47449e-24	2.63785e-11	2.62602e-19	0.0620743	0.937926	1.40303e-10
Cell_266	2.60713e-10	1.94053e-12	1.3894e-12	0.891807	0.108193	8.95351e-13
Cell_267	0.999393	3.99021e-05	0.000282637	9.45295e-05	8.12065e-06	0.000182065
Cell_268	1.93045e-37	9.52712e-07	1.17322e-17	0.491633	0.508365	1.70056e-06
Cell_269	2.12361e-50	9.30726e-14	5.34586e-37	0.0883587	0.911641	6.66261e-14
Cell_270	2.85539e-26	3.01971e-14	6.98521e-27	0.00681391	0.993186	1.33575e-13
Cell_271	2.74914e-13	1.96314e-10	3.18452e-11	0.719318	0.280682	5.06135e-10
Cell_272	1.19401e-14	0.0880719	1.24512e-08	0.0991756	0.772117	0.0406359
Cell_273	4.52021e-33	3.88595e-14	1.71939e-25	0.923269	0.0767309	2.11658e-13
Cell_274	1.7416e-30	1	1.57044e-25	5.02203e-15	6.42263e-16	2.50604e-15
Cell_275	2.52706e-11	0.00636826	5.67241e-09	0.323552	0.663518	0.00656236
Cell_276	0.999053	0.000131656	0.000284685	0.000311933	3.57033e-05	0.000183388
Cell_277	1.33601e-20	3.91688e-07	1.44624e-19	0.0270764	0.972922	1.15409e-06
Cell_278	0.019819	2.61924e-05	5.61697e-06	0.40242	0.577726	3.6234e-06
Cell_279	1.22489e-52	1.43463e-15	2.17989e-26	0.985868	0.0141324	6.34597e-15
Cell_280	4.87235e-25	0.998712	8.80846e-15	0.000812911	9.86636e-05	0.000376164
Cell_281	5.83321e-21	5.42516e-05	4.00266e-14	0.00693324	0.992765	0.000247539
Cell_282	4.12724e-27	1.51669e-09	1.60484e-21	0.244464	0.755536	7.89254e-09
Cell_283	4.0292e-30	6.44238e-08	4.19332e-22	0.0880856	0.911914	2.97248e-08
Cell_284	3.67325e-27	2.29992e-08	2.20023e-21	0.00991597	0.990084	1.16254e-07
Cell_285	1.8447e-44	3.33639e-15	5.01411e-26	0.37978	0.62022	1.66869e-14
Cell_286	1.26885e-20	1.18884e-06	2.58051e-20	0.0988838	0.90111	5.42445e-06
Cell_287	3.94402e-33	4.10561e-12	1.60941e-26	0.764795	0.235205	4.23074e-12
Cell_288	0.999063	7.05617e-05	0.000282421	0.000401156	7.90884e-07	0.000181922
Cell_289	0.999022	3.39658e-05	0.000282446	0.000478207	1.06043e-06	0.000182064
Cell_290	2.2304e-23	1.17593e-16	1.18863e-25	0.898878	0.101122	3.85935e-16
Cell_291	1.01915e-23	7.71604e-08	1.67687e-21	0.472976	0.527024	1.98934e-07
Cell_292	4.93849e-24	3.20092e-07	2.41951e-17	0.993984	0.00601452	1.22958e-06
