cell	Node 0	Node 1	Node 2	Node 3
Cell_391	0.98659	0.0116678	9.44296e-05	0.00164751
Cell_392	4.03125e-22	0.255726	0.00100935	0.743264
Cell_393	5.0209e-17	5.18925e-07	0.999999	6.01767e-08
Cell_394	5.45414e-16	0.814895	0.0032591	0.181846
Cell_395	7.58541e-13	0.395445	0.0299337	0.574622
Cell_396	4.10471e-16	0.52493	0.00287697	0.472193
Cell_397	7.17228e-19	0.143716	0.00413361	0.85215
Cell_398	3.28937e-17	0.219332	0.0015573	0.779111
Cell_399	4.56294e-24	0.413897	0.00828864	0.577814
Cell_400	2.63754e-11	0.752313	0.0111745	0.236512
Cell_401	0.973417	0.00338297	3.9323e-05	0.023161
Cell_402	5.45763e-10	0.493559	0.0732269	0.433214
Cell_403	1.58405e-11	0.575671	0.0854094	0.33892
Cell_404	6.05304e-22	0.428253	0.00167197	0.570075
Cell_405	1.68094e-12	0.577446	0.00857713	0.413977
Cell_406	7.24767e-18	0.391914	0.00170765	0.606379
Cell_407	1.24332e-18	0.740803	0.0560761	0.203121
Cell_408	1.25568e-23	0.829569	0.0627953	0.107636
Cell_409	6.45173e-14	0.603137	0.00241219	0.394451
Cell_410	3.1225e-15	0.0893263	0.0132529	0.897421
Cell_411	1.54933e-15	0.271649	0.00148882	0.726862
Cell_412	5.07368e-22	0.105893	0.0047168	0.88939
Cell_413	0.987332	0.0123194	5.36785e-05	0.000294639
Cell_414	6.33055e-15	0.432033	0.0124263	0.555541
Cell_415	1.5315e-22	0.420875	0.00164322	0.577482
Cell_416	0.990269	0.00783438	3.06646e-05	0.00186609
Cell_417	1.02392e-18	0.0887324	0.890114	0.0211533
Cell_418	0.990313	0.00790556	3.11115e-05	0.00175032
Cell_419	3.51872e-38	0.279986	0.00198796	0.718026
Cell_420	1.0629e-11	0.213083	0.000964022	0.785953
Cell_421	1.34463e-37	1.4756e-07	1	2.92403e-07
Cell_422	4.06595e-20	0.184123	0.00117646	0.8147
Cell_423	1.39955e-14	0.0920637	0.000876213	0.90706
Cell_424	7.25784e-16	0.387344	0.0574683	0.555187
Cell_425	8.62206e-16	0.361342	0.00151788	0.63714
Cell_426	3.17912e-22	0.887992	0.00486678	0.107142
Cell_427	9.16938e-21	0.299178	0.0443876	0.656434
Cell_428	6.70918e-14	0.608902	0.00315738	0.38794
Cell_429	2.90509e-13	0.41587	0.00165345	0.582477
Cell_430	7.635e-12	0.857991	0.127296	0.0147132
Cell_431	7.21939e-21	0.302772	0.00121734	0.696011
Cell_432	5.21274e-16	3.60433e-07	1	1.35373e-08
Cell_433	5.19854e-12	0.022566	0.000451903	0.976982
Cell_434	0.247223	0.368685	0.0279081	0.356183
Cell_435	0.986867	0.0106282	4.39315e-05	0.00246063
Cell_436	5.37539e-19	0.059904	0.000484814	0.939611
Cell_437	2.66971e-14	0.294484	0.00119213	0.704324
Cell_438	1.39599e-27	0.55865	0.00227095	0.439079
Cell_439	6.89959e-21	0.520936	0.00203508	0.477029
Cell_440	5.26129e-21	0.0203543	0.000193721	0.979452
Cell_441	1.37943e-17	0.943024	0.0089752	0.0480011
Cell_442	9.93801e-08	0.946242	0.0421484	0.0116092
Cell_443	0.99021	0.00841058	9.77631e-05	0.00128214
Cell_444	4.81969e-29	0.716656	0.00282212	0.280522
Cell_445	7.79164e-20	0.549474	0.00262592	0.4479
Cell_446	2.26863e-15	0.694588	0.103052	0.20236
Cell_447	1.62524e-25	0.38389	0.00164892	0.614461
Cell_448	3.64242e-15	0.248255	0.00100133	0.750744
Cell_449	5.8306e-07	0.713656	0.0205264	0.265817
Cell_450	9.81754e-13	0.526511	0.00233366	0.471155
Cell_451	3.16948e-05	0.391905	0.058145	0.549918
Cell_452	1.05367e-14	0.967949	0.00382047	0.0282306
Cell_453	0.743421	0.0311783	0.00012235	0.225279
