cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_1072	4.8421e-31	2.85327e-09	3.53694e-10	0.587988	5.46493e-05	5.31498e-21	0.0347991	0.377159
Cell_1073	1.67515e-23	1.77735e-11	2.37851e-12	0.0342807	0.916126	3.81391e-23	0.0092077	0.0403859
Cell_1074	5.82824e-21	0.00179211	0.000656889	0.0190827	0.965452	1.06886e-08	0.00743862	0.00557778
Cell_1075	2.96391e-27	1.49453e-10	2.33636e-11	0.0145734	0.966677	4.872e-22	0.00497853	0.0137706
Cell_1076	1.36032e-13	3.14017e-05	2.84811e-05	0.0395804	0.943375	1.62877e-11	0.012496	0.00448845
Cell_1077	1.06808e-13	0.00621698	0.00873247	0.703782	7.64235e-06	7.99648e-14	0.00193723	0.279324
Cell_1078	0.999737	0.000129649	1.68992e-05	0.000102428	9.04402e-09	3.85667e-13	1.29523e-05	1.51682e-06
Cell_1079	1.84148e-16	3.91042e-12	4.81619e-13	0.00200712	0.994453	5.29501e-25	0.00106541	0.00247459
Cell_1080	2.73198e-28	7.00691e-09	3.27821e-08	0.912961	0.000293736	5.24078e-18	0.0813679	0.00537737
Cell_1081	1.31506e-40	2.23474e-15	6.70698e-16	0.673836	5.47957e-06	6.60848e-25	0.0066304	0.319528
Cell_1082	0.63576	8.40506e-05	1.04817e-05	3.93585e-05	0.363837	1.0549e-13	1.89636e-05	0.000250615
Cell_1083	2.03405e-21	2.22685e-07	1.40624e-07	0.538505	0.000108881	3.95829e-22	0.00552607	0.455859
Cell_1084	0.659729	0.0479443	0.0673433	0.189473	0.00162314	1.47776e-15	0.0239121	0.0099758
Cell_1085	0.99964	0.000129625	1.59564e-05	0.000153775	3.50698e-06	2.73005e-16	1.57629e-05	4.15554e-05
Cell_1086	1.67331e-22	0.620263	0.0763708	0.168961	0.0163007	6.05983e-12	0.0714242	0.0466807
Cell_1087	4.18061e-34	2.44886e-10	2.22109e-10	0.00500699	0.986566	1.62849e-14	0.00118109	0.0072464
Cell_1088	1.6263e-42	8.42489e-15	3.0881e-15	0.963104	5.59321e-08	2.06707e-29	0.0115598	0.0253361
Cell_1089	0.998779	0.000129684	2.40019e-05	0.000991227	9.14335e-10	3.32393e-16	2.61105e-05	4.97011e-05
Cell_1090	6.9565e-33	3.21998e-15	4.52283e-15	0.666072	1.44459e-05	1.19849e-22	0.0133779	0.320536
Cell_1091	6.8059e-34	2.36984e-08	3.20989e-09	0.0841476	0.876861	8.0763e-18	0.0337851	0.00520633
Cell_1092	0.998537	0.000129733	0.000309673	0.000946045	6.04854e-11	1.72333e-17	3.3039e-05	4.43593e-05
Cell_1093	4.3343e-10	0.239569	0.0611404	0.190725	0.0742248	3.37779e-15	0.104009	0.330332
Cell_1094	1.64866e-18	0.00882608	0.0210679	0.717532	0.00606186	2.94505e-15	0.0415337	0.204978
Cell_1095	6.26977e-19	2.38857e-08	1.50837e-08	0.700336	0.0178851	1.48687e-14	0.0655923	0.216187
Cell_1096	1.47096e-18	3.66384e-08	8.20323e-09	0.000551226	0.998721	3.02779e-11	0.000296056	0.00043213
Cell_1097	1.83301e-15	8.41252e-07	1.17581e-07	0.000260456	0.99856	1.59606e-23	0.000237273	0.000941095
Cell_1098	6.35592e-20	4.25529e-07	5.2421e-08	0.0135199	0.971181	2.68837e-22	0.00943743	0.00586101
Cell_1099	3.13395e-31	2.56455e-18	1.6195e-18	0.00056091	0.997905	3.45247e-30	0.000324341	0.00120964
