cell	Node 0	Node 1	Node 2
Cell_402	7.33677e-36	0.992448	0.00755181
Cell_403	1.77545e-27	0.992441	0.00755927
Cell_404	8.15299e-49	4.54132e-07	1
Cell_405	2.7556e-31	0.678837	0.321163
Cell_406	9.35069e-36	0.992451	0.00754872
Cell_407	4.53914e-21	0.992452	0.0075484
Cell_408	4.13432e-54	0.992148	0.00785187
Cell_409	0.997204	0.00277433	2.11699e-05
Cell_410	1.89247e-55	7.2875e-08	1
Cell_411	0.00940923	0.98311	0.00748119
Cell_412	2.46248e-56	0.992447	0.00755274
Cell_413	3.25276e-46	0.992451	0.00754917
Cell_414	0.996766	0.0032094	2.44124e-05
Cell_415	1.82976e-141	0.992451	0.00754885
Cell_416	6.85399e-46	0.992439	0.00756118
Cell_417	5.37399e-46	0.992446	0.00755428
Cell_418	5.72417e-08	0.992451	0.00754923
Cell_419	4.34113e-37	0.992447	0.00755308
Cell_420	3.70797e-41	0.992446	0.00755384
Cell_421	1.4569e-62	0.992451	0.00754866
Cell_422	9.21288e-46	0.992451	0.00754883
Cell_423	1.29636e-42	0.992319	0.00768072
Cell_424	5.09943e-61	0.992451	0.00754851
Cell_425	4.01798e-23	0.992451	0.00754933
Cell_426	9.49394e-27	0.99137	0.00863016
Cell_427	2.09059e-14	0.992448	0.00755213
Cell_428	1.41756e-33	0.992451	0.00754882
Cell_429	1.5548e-33	0.000157287	0.999843
Cell_430	1.13296e-32	0.992358	0.00764182
Cell_431	1.22086e-35	0.992451	0.00754857
Cell_432	2.67632e-45	0.992451	0.00754861
Cell_433	8.56893e-47	9.22478e-13	1
Cell_434	3.84789e-22	0.992452	0.00754844
Cell_435	7.7997e-11	0.992446	0.00755403
Cell_436	2.06451e-32	0.992451	0.00754894
Cell_437	0.01166	0.980687	0.00765339
Cell_438	9.71182e-22	0.992451	0.00754935
Cell_439	1.12041e-29	0.991793	0.00820714
Cell_440	2.42329e-68	0.992452	0.00754846
Cell_441	8.62769e-25	0.949738	0.0502617
Cell_442	4.90309e-40	0.992388	0.00761173
Cell_443	0.180959	0.668652	0.150389
Cell_444	0.982193	0.0176728	0.000134506
Cell_445	1.06145e-15	0.992451	0.00754908
Cell_446	7.95591e-51	0.992452	0.00754841
Cell_447	4.66142e-45	0.992449	0.00755054
Cell_448	3.89601e-35	0.992341	0.00765945
Cell_449	6.88968e-86	0.992383	0.0076166
Cell_450	7.48735e-92	0.992451	0.00754898
Cell_451	8.0369e-73	1.12175e-24	1
Cell_452	3.63397e-51	0.99245	0.00755
Cell_453	1.57077e-10	0.992437	0.00756257
Cell_454	1.01095e-62	0.992449	0.00755078
Cell_455	8.24234e-60	0.777325	0.222675
Cell_456	4.46836e-46	0.992428	0.00757168
Cell_457	4.92117e-37	0.99245	0.00754996
Cell_458	1.69734e-24	0.992235	0.00776528
Cell_459	0.998804	0.00118727	9.03124e-06
Cell_460	3.52559e-05	1.31652e-06	0.999963
Cell_461	8.29674e-40	0.992441	0.00755882
Cell_462	4.63233e-22	0.992449	0.00755059
Cell_463	4.45536e-68	0.992447	0.00755276
Cell_464	0.997574	0.00240733	1.83105e-05
Cell_465	3.29031e-27	0.0287398	0.97126
Cell_466	3.6609e-21	1.20445e-13	1
Cell_467	2.28671e-32	0.0814738	0.918526
Cell_468	4.43733e-40	0.463128	0.536872
Cell_469	0.0001341	0.992318	0.00754768
Cell_470	2.82518e-65	0.989309	0.0106913
Cell_471	2.06024e-50	0.992451	0.0075493
Cell_472	0.998395	0.00159261	1.22728e-05
Cell_473	6.78876e-21	0.992451	0.00754852
Cell_474	3.92722e-33	0.0072823	0.992718
Cell_475	1.46507e-23	0.992451	0.00754896
Cell_476	2.72952e-39	0.992446	0.00755428
Cell_477	1.90116e-37	0.992451	0.00754866
Cell_478	4.28002e-37	0.992256	0.00774369
Cell_479	5.77037e-58	0.992451	0.00754878
Cell_480	8.65213e-51	7.57576e-08	1
Cell_481	4.18639e-63	3.79414e-39	1
Cell_482	1.52972e-14	0.992424	0.00757587
Cell_483	0.967507	0.032197	0.000295648
Cell_484	6.22873e-28	0.990567	0.00943273
Cell_485	1.20266e-08	0.992451	0.00754854
Cell_486	3.40039e-66	0.992438	0.00756171
Cell_487	2.17454e-06	0.990966	0.00903222
Cell_488	2.29617e-17	0.9924	0.00759959
Cell_489	1.07562e-53	0.0547317	0.945268
Cell_490	2.50887e-69	2.3772e-17	1
Cell_491	1.03935e-59	0.992442	0.0075579
Cell_492	1.07167e-33	0.992422	0.00757782
Cell_493	5.03828e-44	0.992451	0.0075486
Cell_494	1.46389e-14	0.99235	0.00764997
Cell_495	1.51975e-25	0.992449	0.0075509
Cell_496	1.12425e-29	0.992451	0.00754854
Cell_497	2.95017e-71	3.09368e-41	1
Cell_498	6.84277e-83	0.992451	0.00754855
Cell_499	8.45524e-79	0.992451	0.00754922
Cell_500	3.83325e-19	0.992292	0.00770824
Cell_501	0.998559	0.00143061	1.0884e-05
Cell_502	2.08423e-29	0.992438	0.00756192
Cell_503	8.10018e-76	2.62599e-23	1
Cell_504	1.58393e-33	1.0854e-06	0.999999
Cell_505	2.27967e-15	0.992423	0.00757748
Cell_506	8.31947e-32	0.992443	0.00755702
Cell_507	1.39331e-76	1.93847e-11	1
Cell_508	5.61981e-47	6.48459e-16	1
Cell_509	8.5088e-30	0.992446	0.00755447
Cell_510	0.998975	0.00101765	7.7428e-06
Cell_511	1.02628e-35	4.46317e-17	1
Cell_512	3.89356e-46	0.992449	0.0075512
Cell_513	5.3939e-40	0.816384	0.183616
Cell_514	1.04646e-21	0.992447	0.00755305
Cell_515	0.998575	0.00141439	1.07596e-05
Cell_516	3.7683e-40	0.94393	0.0560696
Cell_517	1.46599e-28	0.992452	0.00754847
Cell_518	0.999563	0.000433486	3.29759e-06
Cell_519	6.65112e-18	0.992439	0.00756134
Cell_520	2.77324e-20	0.125	0.875
Cell_521	1.78707e-119	1.35717e-12	1
Cell_522	5.03606e-18	0.992452	0.0075485
Cell_523	3.52972e-22	0.992446	0.00755384
Cell_524	5.71004e-19	0.00322301	0.996777
Cell_525	5.68094e-38	0.992444	0.00755562
Cell_526	4.65859e-19	0.992275	0.00772481
Cell_527	7.63426e-55	0.99245	0.00754963
Cell_528	2.45123e-27	0.00186131	0.998139
Cell_529	7.80818e-14	0.992439	0.00756084
Cell_530	0.999446	0.000549327	4.19039e-06
Cell_531	0.998442	0.001546	1.17597e-05
Cell_532	8.16592e-55	0.992437	0.00756257
Cell_533	1.6597e-78	0.992129	0.0078711
Cell_534	1.01722e-50	0.992451	0.00754856
Cell_535	2.87337e-21	0.99245	0.00754983
Cell_536	1.15219e-54	0.992451	0.0075493
Cell_537	1.94726e-38	0.992452	0.00754837
Cell_538	3.81124e-67	0.992452	0.00754846
Cell_539	1.3978e-33	0.98642	0.0135804
Cell_540	4.1479e-06	0.992337	0.00765904
Cell_541	8.57672e-46	0.992443	0.00755681
Cell_542	5.13592e-41	0.0197225	0.980278
Cell_543	6.39744e-44	0.202396	0.797604
Cell_544	1.72183e-20	0.992451	0.00754937
Cell_545	3.60075e-51	0.992423	0.00757748
Cell_546	4.66096e-23	0.99241	0.00759032
Cell_547	5.75294e-64	0.992397	0.00760327
Cell_548	1.28652e-19	0.992383	0.0076166
Cell_549	1.79039e-43	0.992451	0.00754922
Cell_550	1.12381e-102	0.992451	0.00754881
Cell_551	1.14336e-25	0.9924	0.00759959
Cell_552	0.99816	0.0018261	1.39127e-05
Cell_553	3.78001e-31	0.992416	0.00758424
Cell_554	2.57527e-46	0.00359677	0.996403
Cell_555	1.01018e-26	0.992439	0.00756134
Cell_556	1.31449e-56	0.99202	0.00797986
Cell_557	0.000293032	0.992161	0.0075462
Cell_558	1.41247e-68	4.3843e-06	0.999996
