cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10
Cell_1915	3.50895e-29	5.76949e-06	0.000708473	1.444e-05	3.3264e-05	0.00188232	2.01013e-05	0.000101388	0.546051	0.00113499	0.450048
Cell_1916	5.5634e-19	3.0041e-06	0.00109087	2.24242e-05	6.69014e-05	0.00120021	2.05144e-05	4.47655e-05	0.980399	0.000661572	0.0164905
Cell_1917	1.2778e-32	5.58423e-05	0.00112854	2.30172e-05	5.04833e-05	0.00317152	2.22528e-06	0.00186827	4.68765e-08	0.00809604	0.985604
Cell_1918	2.95831e-24	1	8.63671e-09	1.75222e-10	4.05508e-10	5.89434e-09	1.66611e-13	2.54958e-10	2.25305e-21	3.61692e-08	6.26729e-14
Cell_1919	1.95731e-24	1.05611e-05	0.00600681	0.000122512	0.000288673	0.00351591	0.000206319	0.000523639	0.986565	0.00275744	3.00347e-06
Cell_1920	1.61761e-06	0.0318796	1.02724e-15	2.1141e-17	7.63801e-17	5.53658e-17	0.968119	9.95635e-18	1.4591e-21	2.37583e-15	3.10591e-14
Cell_1921	1.64904e-27	0.000552693	0.20265	0.00422703	0.0265436	0.48472	2.08085e-09	0.0805068	8.75168e-09	0.0882056	0.112594
Cell_1922	2.44727e-19	4.9138e-05	0.00427638	9.05751e-05	0.00031797	0.0166773	4.31333e-07	8.38008e-05	0.000963658	0.00460203	0.972939
Cell_1923	1.85345e-36	4.87331e-07	0.00012552	2.55687e-06	7.21722e-06	0.00134931	7.2173e-14	3.36483e-05	5.96973e-09	3.97391e-05	0.998442
Cell_1924	1.53229e-20	2.52298e-06	0.000414023	8.59243e-06	2.53914e-05	0.00132172	1.26726e-07	2.53402e-06	0.997931	0.000294385	2.48006e-09
Cell_1925	3.30231e-36	1.14668e-06	0.0002429	5.01818e-06	1.61964e-05	0.00031943	1.20634e-10	1.23741e-05	0.999332	7.12259e-05	4.19061e-23
Cell_1926	5.6721e-31	8.49042e-07	0.000291189	5.96197e-06	1.28822e-05	0.000572975	8.68903e-09	1.82114e-07	3.11272e-20	0.001176	0.99794
Cell_1927	8.49623e-18	4.47041e-05	0.00143207	3.35994e-05	7.53284e-05	0.00141174	4.69522e-11	7.49816e-05	4.67123e-08	0.00258889	0.994339
Cell_1928	1.24065e-15	0.00539018	0.180379	0.00369178	0.0103715	0.0121371	2.5013e-06	0.0175563	2.60543e-09	0.76785	0.00262199
Cell_1929	2.25965e-18	0.000819499	0.0122306	0.00025091	0.000623879	0.0105487	0.00559618	0.0016578	0.871968	0.0816373	0.0146667
