cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_3415	2.14061e-15	0.198444	0.0119217	0.789579	5.52813e-05
Cell_3416	2.76215e-14	0.764501	0.00363159	0.23185	1.68971e-05
Cell_3417	3.8529e-07	0.000184988	0.0252266	0.974469	0.000119169
Cell_3418	7.82535e-06	0.293911	0.0106886	0.695343	4.95332e-05
Cell_3419	4.32331e-08	0.0992769	0.0343186	0.866242	0.000162682
Cell_3420	0.0892614	0.266308	0.0143015	0.63004	8.87685e-05
Cell_3421	0.564409	0.287887	0.00237504	0.145318	1.13157e-05
Cell_3422	4.66114e-07	5.5202e-06	0.994565	0.000204246	0.00522494
Cell_3423	5.59309e-27	0.172938	0.0123327	0.814672	5.72669e-05
Cell_3424	2.19462e-09	0.9328	0.00100374	0.0661911	4.66034e-06
Cell_3425	1.82322e-09	0.289009	0.0270886	0.683748	0.000154009
Cell_3426	5.52291e-24	0.249985	0.0111838	0.73878	5.18643e-05
Cell_3427	1.34964e-05	0.265322	0.106024	0.627707	0.000934184
Cell_3428	1.24627e-15	1.76845e-06	0.994941	4.18386e-06	0.00505336
Cell_3429	0.000258776	0.139122	0.0173855	0.843135	9.88428e-05
Cell_3430	0.000314102	0.2937	0.0110776	0.694846	6.24775e-05
Cell_3431	0.000316773	0.938236	0.00100538	0.060437	4.6727e-06
Cell_3432	9.48691e-07	0.516726	0.00808643	0.475149	3.77565e-05
Cell_3433	2.98708e-12	0.54494	0.0269622	0.427973	0.00012523
Cell_3434	8.19747e-05	0.265419	0.106062	0.627937	0.000499967
Cell_3435	1.4017e-09	0.960145	0.000619683	0.0392316	3.495e-06
Cell_3436	0.0695564	0.273408	0.0101495	0.646838	4.86759e-05
Cell_3437	0.0679181	0.12887	0.0131417	0.789995	7.47154e-05
Cell_3438	2.04186e-05	3.20744e-05	0.0300556	0.969746	0.000145404
Cell_3439	1.02471e-12	0.970505	0.000439818	0.0290535	2.04695e-06
Cell_3440	0.751745	0.0726988	0.00354651	0.171993	1.65058e-05
Cell_3441	0.765533	0.0505398	0.0640602	0.119569	0.000298542
Cell_3442	0.0236574	0.0622219	0.034829	0.879125	0.000167036
Cell_3443	0.00404751	0.291939	0.0132708	0.690679	6.36451e-05
Cell_3444	0.228172	0.225196	0.0137922	0.532775	6.46898e-05
Cell_3445	0.25377	0.384551	0.00802667	0.353609	4.42069e-05
Cell_3446	0.000478332	0.29163	0.017861	0.689947	8.37737e-05
Cell_3447	0.162439	0.246164	0.00895222	0.582384	6.04173e-05
Cell_3448	0.307878	0.202879	0.00922233	0.479977	4.33014e-05
Cell_3449	3.96718e-05	0.107633	0.0133285	0.878937	6.2079e-05
Cell_3450	1.68043e-13	0.34462	0.00975062	0.645583	4.56209e-05
Cell_3451	0.215336	0.315111	0.0104209	0.459084	4.84741e-05
Cell_3452	0.000391476	0.29186	0.0171779	0.690491	7.98235e-05
Cell_3453	2.89663e-09	0.526073	0.438009	0.0338873	0.00203029
Cell_3454	0.00109447	0.520637	0.0690632	0.408886	0.000320249
Cell_3455	8.23683e-11	0.292839	0.0142858	0.692808	6.67839e-05
Cell_3456	0.21689	0.334981	0.00669026	0.441408	3.10119e-05
Cell_3457	1.33861e-22	0.172939	0.0123287	0.814676	5.72002e-05
Cell_3458	0.215416	0.225464	0.00877327	0.550306	4.09215e-05
Cell_3459	1.43087e-05	0.265437	0.10607	0.62798	0.000498613
Cell_3460	0.00560958	0.0302968	0.0367331	0.927186	0.000174128
Cell_3461	2.15743e-07	0.739389	0.00426404	0.256327	2.03781e-05
Cell_3462	0.00122731	0.288663	0.0270562	0.682928	0.000125521
Cell_3463	0.000678925	0.293454	0.0115492	0.694264	5.38958e-05
Cell_3464	2.33533e-07	0.293714	0.0113533	0.694879	5.27768e-05
Cell_3465	2.34916e-14	0.293708	0.0113567	0.694865	7.04901e-05
Cell_3466	0.0752929	0.27079	0.0132101	0.640645	6.18474e-05
Cell_3467	1.47643e-05	0.293907	0.0106885	0.695335	5.43732e-05
Cell_3468	5.8713e-07	0.0109484	0.0186437	0.970315	9.27344e-05
Cell_3469	6.15347e-11	0.265377	0.106046	0.627838	0.000739865
Cell_3470	3.46866e-09	0.065083	0.0152969	0.919548	7.26843e-05
Cell_3471	0.0287238	0.0302804	0.0142447	0.926684	6.70532e-05
Cell_3472	2.58335e-08	0.0191878	0.0147593	0.965963	8.96653e-05
Cell_3473	9.57586e-05	0.000836459	0.144263	0.854103	0.000701705
Cell_3474	0.143928	0.251389	0.00989368	0.594744	4.58836e-05
Cell_3475	0.00271821	0.00678294	0.0377389	0.952574	0.000186093
Cell_3476	5.56416e-08	0.0482092	0.015573	0.936145	7.31193e-05
Cell_3477	8.5532e-09	0.138426	0.0129304	0.848575	6.793e-05
Cell_3478	3.43668e-10	0.153604	0.12222	0.723596	0.000579558
Cell_3479	0.537072	0.135787	0.00585764	0.32125	3.3037e-05
Cell_3480	1.25903e-13	0.285955	0.0373467	0.676521	0.000177934
Cell_3481	0.0246757	0.283703	0.0203337	0.671193	9.44882e-05
Cell_3482	0.388326	0.476335	0.00300354	0.132318	1.63394e-05
Cell_3483	0.0467846	0.0190646	0.0140196	0.920054	7.75703e-05
Cell_3484	1.5369e-07	0.0480923	0.0179436	0.933875	8.92518e-05
Cell_3485	8.40808e-23	7.21364e-08	0.993831	3.64127e-08	0.00616865
Cell_3486	0.0103766	0.274087	0.0667803	0.648445	0.000310716
Cell_3487	0.80723	0.0565056	0.0025686	0.133683	1.23686e-05
Cell_3488	0.978268	0.0134222	0.000124464	0.00818484	5.81137e-07
Cell_3489	3.32716e-07	0.000888197	0.0149947	0.984047	6.95206e-05
Cell_3490	5.95034e-05	2.74367e-05	0.994417	0.000758737	0.00473779
Cell_3491	9.54973e-11	0.0069129	0.0220371	0.970825	0.000225458
