cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9
Cell_1912	1.01291e-16	0.388123	1.48085e-06	5.71869e-19	0.00503626	0.000305682	0.155145	1.05914e-05	0.17351	0.277868
Cell_1913	0.000278162	0.00239873	3.41015e-05	1.29244e-08	1.84273e-06	6.80855e-06	2.64333e-05	0.99541	0.00174216	0.000102034
Cell_1914	0.000102325	0.00172509	1.25446e-05	3.25935e-08	1.49943e-06	2.50461e-06	4.50458e-05	0.997474	0.000556056	8.06782e-05
Cell_1915	3.88918e-05	0.0018144	4.76797e-06	0.634213	1.96803e-05	8.13316e-06	0.000164285	0.360724	0.0019253	0.0010879
Cell_1916	3.16726e-06	0.000292864	3.88293e-07	0.00205417	5.85272e-07	3.37932e-07	7.07976e-06	0.997497	0.000111978	3.20787e-05
Cell_1917	2.30793e-06	0.0015033	6.31184e-08	0.979755	0.000170687	4.20205e-05	0.00132249	2.97438e-09	0.00777506	0.00942906
Cell_1918	2.24128e-13	1.67193e-08	8.31382e-11	9.88758e-14	3.79556e-11	1	3.18306e-10	5.91222e-21	4.84516e-08	2.10784e-09
Cell_1919	0.000171404	0.0091394	2.10134e-05	3.33896e-06	4.76756e-05	6.03903e-06	0.000411833	0.984973	0.00259257	0.00263368
Cell_1920	0.962153	1.60275e-15	0.0139876	3.95348e-14	7.27682e-19	0.0238599	1.13076e-17	1.43086e-21	2.52375e-15	3.98373e-17
Cell_1921	3.01714e-09	0.399964	7.06785e-08	0.141082	0.00412557	0.000557283	0.124421	6.37734e-09	0.107008	0.222842
Cell_1922	4.8228e-07	0.00659856	5.91255e-08	0.988199	6.07992e-06	3.93622e-05	9.18009e-05	0.000148831	0.00459199	0.000323421
Cell_1923	8.99277e-14	0.000241744	1.10248e-14	0.999483	3.39697e-06	3.97468e-07	3.79788e-05	1.76852e-09	4.60875e-05	0.000187887
Cell_1924	6.51535e-08	0.000296926	3.12454e-06	1.32682e-09	1.09196e-07	8.97962e-07	1.30833e-06	0.999558	0.000133223	5.92811e-06
Cell_1925	7.82302e-11	0.000236168	3.80564e-06	2.38202e-23	5.55102e-07	4.74036e-07	7.46649e-06	0.99968	4.15263e-05	3.0273e-05
Cell_1926	7.72794e-09	0.000439279	7.13374e-11	0.998331	2.2341e-08	5.62479e-07	1.69491e-07	3.59322e-21	0.00122771	1.22939e-06
Cell_1927	4.13586e-11	0.00213588	5.07039e-12	0.994841	7.15138e-06	2.61456e-05	6.12643e-05	2.1647e-08	0.00258515	0.000343419
Cell_1928	2.4292e-06	0.225123	5.48321e-07	0.00245728	0.00133854	0.00389913	0.0148945	5.01086e-10	0.678599	0.0736855
Cell_1929	0.00197702	0.00537404	0.000242374	0.00440656	4.99286e-05	0.000210938	0.000468024	0.95845	0.0260792	0.00274209
