cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_1173	4.6074e-16	1.63261e-17	1	7.38106e-18	4.65584e-17
Cell_1174	0.894535	0.00077196	5.66329e-21	0.014299	0.090394
Cell_1175	7.04661e-15	2.56741e-16	1	1.1222e-16	7.12069e-16
Cell_1176	0.858722	0.034967	2.90136e-22	0.0195364	0.086775
Cell_1177	4.06145e-06	0.999991	4.71925e-06	6.41477e-08	1.73957e-08
Cell_1178	4.83132e-20	1	3.52663e-47	7.5981e-22	4.88211e-21
Cell_1179	0.432726	0.0135235	0.502811	0.00721151	0.0437276
Cell_1180	6.1092e-08	8.65005e-11	1.42495e-28	1	2.74658e-10
Cell_1181	0.00245079	9.2119e-05	0.00284773	0.994362	0.000247656
Cell_1182	6.31222e-05	4.09279e-08	1.94588e-31	0.99993	6.37858e-06
Cell_1183	8.96975e-14	1	1.938e-36	1.4128e-15	4.03264e-16
Cell_1184	0.56564	0.000394722	9.15781e-25	0.376806	0.0571587
Cell_1185	0.00020863	0.999787	7.88142e-28	3.30112e-06	8.23661e-07
Cell_1186	0.349101	0.0110085	0.405642	0.232557	0.00169096
Cell_1187	6.91586e-11	1	2.13491e-43	1.08764e-12	3.21407e-13
Cell_1188	1.30252e-20	1.22399e-23	1	2.06097e-22	5.85591e-23
Cell_1189	3.58245e-11	1	2.61501e-38	6.25695e-13	3.62011e-12
Cell_1190	0.428518	0.021889	0.497921	0.0083705	0.0433023
Cell_1191	0.893397	0.000989812	1.30573e-19	0.0153339	0.090279
Cell_1192	9.22911e-10	1	3.11824e-31	1.54515e-11	9.32614e-11
Cell_1193	0.337894	0.0102506	0.39262	0.225091	0.0341446
Cell_1194	1.28927e-09	1	1.92312e-36	8.58857e-10	5.64335e-12
Cell_1195	0.432847	0.0135273	0.502951	0.00693422	0.0437398
Cell_1196	0.221286	0.351815	0.257126	0.147412	0.0223613
Cell_1197	2.16821e-06	1.44618e-09	2.95763e-32	0.999998	2.191e-07
Cell_1198	3.7085e-05	0.999959	5.0195e-23	5.8253e-07	3.74749e-06
Cell_1199	3.70718e-20	3.57023e-23	1	5.92586e-22	3.74616e-21
Cell_1200	0.894533	0.000569746	3.09806e-30	0.0145036	0.0903937
Cell_1201	0.446941	0.0228301	0.519328	0.00846604	0.00243496
Cell_1202	4.88135e-09	2.96225e-12	7.91838e-41	1	2.65939e-11
Cell_1203	1.95574e-12	1	2.27249e-12	3.12008e-14	1.9763e-13
Cell_1204	3.70718e-20	5.97235e-23	1	7.55785e-22	3.74616e-21
Cell_1205	1.25656e-16	1.63056e-19	1	2.00859e-18	1.26977e-17
Cell_1206	1.29216e-05	0.999987	2.79184e-28	2.05783e-07	5.80934e-08
Cell_1207	0.565622	0.000427607	5.06716e-24	0.376794	0.0571568
Cell_1208	0.42854	0.0186991	0.497947	0.0115088	0.0433046
Cell_1209	5.3768e-10	1	2.85146e-32	8.4642e-12	5.43332e-11
Cell_1210	3.70718e-20	3.25758e-23	1	6.83235e-22	2.0197e-22
