cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_217	0.0172017	0.0167972	0.0580734	0.448656	0.016071	0.443201
Cell_218	2.58206e-05	2.9619e-08	2.9465e-06	0.965369	0.0345799	2.24869e-05
Cell_219	1.98013e-05	6.71982e-07	3.38613e-06	0.964903	0.0345632	0.000510179
Cell_220	0.0188382	0.000639781	0.00320275	0.49134	0.000614339	0.485365
Cell_221	0.0177653	0.000602857	0.0599762	0.463356	0.000576758	0.457722
Cell_222	2.12248e-07	0.00116306	0.115717	1.51824e-07	1.88986e-10	0.88312
Cell_223	1.15949e-07	0.00138255	0.00560606	5.71727e-08	7.11816e-11	0.993011
Cell_224	0.0188462	0.000641767	0.00277711	0.491548	0.000614964	0.485572
Cell_225	0.0177653	0.000602813	0.0599762	0.463356	0.000576751	0.457723
Cell_226	0.0177653	0.000602815	0.0599762	0.463356	0.000576755	0.457723
Cell_227	7.25593e-12	7.0853e-12	1.23383e-12	1.8925e-10	1	1.86949e-10
Cell_228	0.0177653	0.000602811	0.0599762	0.463356	0.000576754	0.457723
Cell_229	0.0188962	0.000641674	0.000138317	0.492851	0.000613577	0.486859
Cell_230	4.92076e-07	0.00130663	0.0065435	1.28344e-05	1.59753e-08	0.992137
Cell_231	1.69107e-06	5.73812e-08	5.7091e-06	0.998706	0.00124312	4.35703e-05
Cell_232	0.018532	0.00062884	0.00269419	0.483354	0.0173139	0.477477
Cell_233	4.57098e-06	0.00116292	0.115703	0.000119221	1.48397e-07	0.883011
Cell_234	0.018847	0.000639536	0.00274008	0.491569	0.000612732	0.485592
Cell_235	1.01073e-06	0.0011631	0.115717	8.17878e-07	2.92967e-08	0.883118
Cell_236	0.0174852	0.000593402	0.0590305	0.45605	0.0163359	0.450505
Cell_237	0.0177653	0.000602884	0.0599762	0.463356	0.000576819	0.457722
Cell_238	1.23783e-05	7.88874e-09	7.84793e-07	0.9654	0.034581	5.98933e-06
Cell_239	0.0185655	0.0181289	0.000136063	0.484227	0.000602791	0.47834
Cell_240	3.24358e-08	0.00130806	0.00560355	1.533e-08	5.49127e-10	0.993088
Cell_241	0.018518	0.0180825	0.00269711	0.482987	0.000601296	0.477114
Cell_242	6.26278e-07	0.0363177	0.00540732	1.63346e-05	2.03713e-08	0.958258
Cell_243	1.40788e-07	0.00116308	0.115717	5.53733e-08	6.89255e-11	0.88312
Cell_244	6.6598e-06	0.00116288	0.115696	0.000173701	2.16221e-07	0.882961
Cell_245	0.0177639	0.000614116	0.0599715	0.463319	0.000645218	0.457686
Cell_246	0.0188962	0.000641196	0.000138303	0.492852	0.000613482	0.486859
Cell_247	0.0362912	2.09008e-05	8.95484e-05	0.94655	0.0011782	0.0158702
Cell_248	0.0188961	0.000644902	0.000139451	0.492849	0.000613524	0.486857
Cell_249	1.25523e-05	1.02153e-08	1.01634e-06	0.998736	0.00124316	7.75644e-06
Cell_250	0.0174852	0.000593343	0.0590305	0.45605	0.0163359	0.450505
Cell_251	0.0172017	0.0167972	0.0580734	0.448656	0.016071	0.443201
Cell_252	0.0177653	0.000602868	0.0599762	0.463356	0.00057679	0.457722
Cell_253	0.0188962	0.000642016	0.000138542	0.492851	0.000613502	0.486859
Cell_254	0.0188383	0.000639366	0.0032026	0.491341	0.000611619	0.485367
Cell_255	3.55681e-07	0.00116345	0.115717	1.32919e-07	1.65448e-10	0.883119
Cell_256	0.0188962	0.000641185	0.000138295	0.492852	0.000613465	0.486859
Cell_257	0.0188452	0.000715422	0.00275516	0.491523	0.000613873	0.485547
Cell_258	0.018847	0.000639638	0.00274042	0.491569	0.000611896	0.485592
Cell_259	1.74191e-05	1.65676e-08	1.64838e-06	0.998725	0.00124314	1.258e-05
Cell_260	0.0188899	0.000944891	0.000164028	0.492689	0.00061439	0.486698
Cell_261	0.0188962	0.000641206	0.000138645	0.492852	0.000613468	0.486859
Cell_262	1.25191e-05	8.65892e-09	1.86682e-09	0.9654	0.034581	6.57122e-06
Cell_263	0.0188379	0.000639333	0.00321991	0.491333	0.000611839	0.485358
Cell_264	8.81966e-12	1.05615e-10	0.999918	2.30035e-10	8.15296e-05	8.01771e-08
Cell_265	0.0188927	0.000797974	0.000144992	0.492762	0.000632577	0.48677
Cell_266	0.0188961	0.000642924	0.000139485	0.49285	0.000614004	0.486857
Cell_267	0.0188962	0.000641187	0.00013828	0.492852	0.000613478	0.486859
Cell_268	0.0188962	0.000641186	0.000138281	0.492852	0.000613468	0.486859
Cell_269	0.0172017	0.0167972	0.0580734	0.448656	0.016071	0.443201
Cell_270	0.0362918	2.08799e-05	8.94589e-05	0.946565	0.00117821	0.0158544
Cell_271	3.43605e-05	1.166e-06	0.000116002	0.997721	0.00124195	0.000885296
Cell_272	0.0172017	0.0167972	0.0580734	0.448656	0.016071	0.443201
Cell_273	0.0188962	0.000641244	0.00013836	0.492852	0.000613468	0.486859
Cell_274	0.0177653	0.000602813	0.0599762	0.463356	0.000576754	0.457723
Cell_275	5.75142e-08	0.00125713	0.000295526	0.0439415	5.46965e-05	0.954451
Cell_276	1.03075e-06	6.24219e-10	6.21058e-08	0.998755	0.00124318	4.73975e-07
Cell_277	0.018847	0.000639515	0.00274	0.491569	0.000611869	0.485592
Cell_278	3.60819e-09	1.22433e-10	1.21813e-08	0.998757	0.00124318	9.29647e-08
Cell_279	3.23287e-05	1.09699e-06	5.49479e-06	0.997886	0.00124211	0.000832946
Cell_280	1.86993e-08	6.34555e-10	0.999999	4.87716e-07	6.07073e-10	4.81786e-07
Cell_281	0.0177653	0.000602812	0.0599762	0.463356	0.000576753	0.457723
Cell_282	1.88142e-07	6.38571e-09	3.19701e-08	0.998752	0.00124322	4.84746e-06
Cell_283	1.99085e-07	0.0324223	0.112095	5.19256e-06	7.51874e-09	0.855477
Cell_284	0.0188469	0.000643758	0.00274095	0.491567	0.0006119	0.48559
Cell_285	0.0174852	0.000593369	0.0590305	0.45605	0.0163359	0.450505
Cell_286	0.0188962	0.0006412	0.000138329	0.492852	0.000613505	0.486859
Cell_287	7.53295e-12	4.48379e-15	1.71301e-07	0.998757	0.0012432	3.40459e-12
Cell_288	4.43671e-10	0.00130788	0.00560365	1.78416e-10	2.2208e-13	0.993088
Cell_289	0.018532	0.000628831	0.00269424	0.483354	0.0173139	0.477477
Cell_290	8.94219e-05	7.2774e-08	1.56934e-08	0.998612	0.001243	5.52563e-05
Cell_291	1.83641e-08	0.0012377	0.00530527	0.0536264	6.67505e-05	0.939764
Cell_292	0.018847	0.000639538	0.00274032	0.491569	0.00061193	0.485592
Cell_293	2.04833e-05	6.95199e-07	6.91524e-05	0.99814	0.00124242	0.000527752
Cell_294	0.0188356	0.000878826	0.00310148	0.491272	0.000612927	0.485299
Cell_295	0.018518	0.0180825	0.00269528	0.482988	0.000601333	0.477115
Cell_296	0.018847	0.00063953	0.0027401	0.491569	0.000611886	0.485592
Cell_297	1.24667e-06	4.23022e-08	0.999966	6.86663e-07	8.54732e-10	3.21204e-05
