cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_743	1.78415e-09	2.36546e-31	1.80291e-10	2.80863e-11	1
Cell_744	0.894022	5.66004e-21	0.0903421	0.0148991	0.000736938
Cell_745	8.55653e-06	9.94235e-06	4.66166e-08	0.999981	2.6379e-07
Cell_746	3.0388e-07	4.24197e-32	3.07075e-08	4.82498e-09	1
Cell_747	7.04661e-15	1	7.12069e-16	1.18416e-16	2.23011e-16
Cell_748	7.82925e-14	1.14428e-32	4.26543e-16	1.23881e-15	1
Cell_749	9.80951e-10	3.31434e-31	4.06768e-12	1.54205e-11	1
Cell_750	6.76254e-05	7.8578e-05	6.83363e-06	0.999845	2.07104e-06
Cell_751	0.369363	5.22662e-18	0.0373247	0.00607394	0.587238
Cell_752	0.258469	0.300331	0.0261186	0.00415094	0.410931
Cell_753	0.450628	0.523612	0.00245505	0.00733625	0.0159679
Cell_754	3.18973e-18	1	3.22327e-19	5.54892e-20	3.65091e-21
Cell_755	7.17315e-06	6.42611e-29	3.22492e-08	1.13295e-07	0.999993
Cell_756	5.48411e-05	7.76021e-22	5.54177e-06	8.76625e-07	0.999939
Cell_757	2.64244e-08	3.86202e-27	2.67022e-09	0.999954	4.62128e-05
Cell_758	0.258395	0.300245	0.0261112	0.00443499	0.410814
Cell_759	0.00607125	0.00705456	0.000613508	0.986067	0.000193636
Cell_760	0.461674	0.183715	0.0466528	0.307548	0.00040975
Cell_761	0.894806	3.30041e-34	0.0904213	0.0142076	0.000565546
Cell_762	0.000938028	2.92103e-28	9.4789e-05	1.47295e-05	0.998952
Cell_763	0.43252	0.502572	0.0437068	0.00696558	0.0142353
Cell_764	1.187e-14	1.61918e-40	5.19572e-17	1.86764e-16	1
Cell_765	0.438722	0.509778	0.0443334	0.00689396	0.000272879
Cell_766	6.81775e-15	2.30351e-36	1.22423e-11	1.0752e-16	1
Cell_767	2.91509e-05	2.6115e-28	2.94574e-06	0.999968	2.07869e-08
Cell_768	3.99913e-09	9.32784e-30	1.60817e-11	1	3.20697e-12
Cell_769	0.337406	0.392053	0.0340953	0.224766	0.01168
Cell_770	0.977088	3.01624e-33	0.00532324	0.0169976	0.000591223
Cell_771	3.90008e-10	5.1708e-32	3.94108e-11	6.17749e-12	1
Cell_772	0.565615	1.22207e-23	0.0571562	0.37679	0.000439021
Cell_773	6.25278e-06	7.26549e-06	6.31852e-07	0.999986	1.90067e-07
Cell_774	1.5011e-14	1.34477e-37	8.17812e-17	2.37518e-16	1
Cell_775	0.348653	0.405121	0.00189948	0.232258	0.0120693
Cell_776	9.28212e-06	1.07855e-05	4.17307e-08	1.462e-07	0.99998
